# Constructed from biom file
#OTU ID	10918.38802.R1.fastq.gz	10918.38895.R1.fastq.gz	10918.38896.R1.fastq.gz	10918.38899.R1.fastq.gz	10918.38903.R1.fastq.gz	10918.39015.R1.fastq.gz	10918.39024.R1.fastq.gz	10918.39025.R1.fastq.gz	10918.39027.R1.fastq.gz	10918.39028.R1.fastq.gz	10918.39029.R1.fastq.gz	10918.39125.R1.fastq.gz	10918.39127.R1.fastq.gz	10918.39130.R1.fastq.gz	10918.39136.R1.fastq.gz
04195686f2b70585790ec75320de0d6f	964.0	5256.0	7916.0	7233.0	3547.0	15751.0	20951.0	4788.0	4992.0	30.0	20979.0	84.0	1084.0	4288.0	3968.0
e2c3ff4f647112723741aa72087f1bfa	13056.0	4899.0	16237.0	6369.0	7452.0	12285.0	38.0	12364.0	174.0	24802.0	9057.0	23390.0	13052.0	8373.0	14564.0
c18afe570abfe82d2f746ecc6e291bab	0.0	659.0	173.0	0.0	17856.0	109.0	44.0	0.0	2586.0	60.0	1697.0	284.0	0.0	52.0	0.0
ac5402de1ddf427ab8d2b0a8a0a44f19	0.0	17508.0	0.0	0.0	25.0	15.0	10.0	17.0	32.0	0.0	0.0	0.0	1349.0	1622.0	0.0
ece1af985b63ebccd2833e9b5f0432e3	91.0	0.0	187.0	117.0	2936.0	0.0	0.0	47.0	504.0	0.0	317.0	0.0	0.0	0.0	2639.0
4e1758e81adcb1107024ee52c0113a6f	35.0	48.0	0.0	5613.0	2533.0	0.0	0.0	0.0	154.0	198.0	0.0	0.0	88.0	38.0	24.0
c4f9ef34bd2919511069f409c25de6f1	278.0	0.0	0.0	9862.0	0.0	0.0	0.0	0.0	0.0	0.0	815.0	92.0	0.0	0.0	0.0
2a99ec1157a90661db7ff643b82f1914	0.0	0.0	32.0	0.0	0.0	0.0	0.0	4049.0	0.0	0.0	0.0	29.0	0.0	8606.0	0.0
ea2b0e4a93c24c6c3661cbe347f93b74	15.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	108.0	25.0
dff37b3a4d27b9220b9af1459162a48b	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	6613.0	0.0	0.0	0.0	0.0	0.0	0.0
c162a4f3943238810eba8a25f0563cca	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0
8937656c16c20701c107e715bad86732	26.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	8.0
ad7bc2bb6e1ec90a9bc3c8949bce80d6	0.0	0.0	0.0	0.0	0.0	1982.0	1326.0	371.0	810.0	0.0	0.0	0.0	1146.0	45.0	0.0
79280cea51a6fe8a3432b2f266dd34db	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	6.0
78eecb7cd2176d3a2ed21ce8154ba1b3	363.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	0.0	587.0	0.0	0.0	0.0	0.0
94b000e59b7ac160b0416c9ab45ff0bf	516.0	0.0	264.0	80.0	268.0	0.0	12083.0	44.0	127.0	71.0	261.0	124.0	23.0	18.0	36.0
eea6b86c0c75e740670ccc50613b1b23	16.0	0.0	0.0	11.0	21.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
d75b7080930e7a77ef3de8c6154895b9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0	30.0	0.0	0.0
04c8be5a3a6ba2d70446812e99318905	65.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	742.0	0.0	7109.0	0.0	0.0
a66dd8d31584930c2b0f811f572dddcf	32.0	0.0	0.0	2477.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	5.0
25def15fb42bed6855ede4893d27a21d	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4664.0	0.0	0.0	0.0	0.0
f9b52205cb2d03153fd394a290212a10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
c1b636001e0773f9cca8096d70e8b5de	0.0	3927.0	2352.0	0.0	2772.0	97.0	0.0	496.0	713.0	2668.0	2201.0	481.0	0.0	0.0	934.0
b0645cbec7653c887cb868a248d95874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0
992072d045462445dc239b35300af2cc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
a650f349bbdffb95b3624519d1ba72b8	67.0	0.0	236.0	0.0	0.0	0.0	61.0	2096.0	9.0	236.0	0.0	1318.0	323.0	54.0	88.0
3d766867c97f511431bf97e059d6498f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
9695acecaba71cc9fc1458080b07d1fa	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	33.0
8ce931b0c99ad5ed648c25483c1ca492	17.0	79.0	2.0	134.0	0.0	475.0	2362.0	0.0	101.0	284.0	342.0	3.0	70.0	112.0	0.0
6c83fec6e8d03fad51eabc871853c991	31.0	3287.0	0.0	0.0	167.0	95.0	36.0	0.0	0.0	0.0	0.0	236.0	0.0	56.0	967.0
124c75409b4ecd0bf23a84e28593567d	11712.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	1553.0	4828.0	0.0
47ad35356a9bfec68416d32e4f039021	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	0.0	6.0	0.0
