function	description	10918.38802.R1.fastq.gz	10918.38895.R1.fastq.gz	10918.38896.R1.fastq.gz	10918.38899.R1.fastq.gz	10918.38903.R1.fastq.gz	10918.39015.R1.fastq.gz	10918.39024.R1.fastq.gz	10918.39025.R1.fastq.gz	10918.39027.R1.fastq.gz	10918.39028.R1.fastq.gz	10918.39029.R1.fastq.gz	10918.39125.R1.fastq.gz	10918.39127.R1.fastq.gz	10918.39130.R1.fastq.gz	10918.39136.R1.fastq.gz
K00001	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]	14648.34	25288.75	16564.17	17235.0	7733.0	14025.42	111.0	13668.83	2783.25	25029.7	12771.47	23705.17	29477.5	12674.83	14726.4
K00002	AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.0	0.0	0.0	0.0	0.0	0.0	0.0
K00003	E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]	31684.16	20015.620000000003	22643.9	9853.67	12731.27	15730.3	17208.9	14604.23	7545.41	31343.27	17081.670000000002	26063.33	20304.57	13783.0	21063.74
K00004	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	78.42	505.25	67.0	6.0	11.5	13.42	24.0	107.75	7.42	167.67	481.9	151.0	96.0	91.33	181.87
K00005	gldA; glycerol dehydrogenase [EC:1.1.1.6]	16961.82	14834.35	6645.049999999999	4372.099999999999	9630.84	4297.719999999999	6448.4	1845.08	3226.62	5962.6	9392.6	1509.1	9486.8	6018.93	8178.400000000001
K00007	dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00008	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]	1095.42	8405.4	1674.3200000000002	2152.0	1891.74	489.4	17861.2	1144.45	6363.33	1798.65	5669.07	357.92	8960.7	2380.5	444.0
K00009	mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	1167.9	1243.2	2421.4	2737.1	6377.1	3234.5	18371.5	2189.6000000000004	1840.7	399.7	5654.7	968.1	442.9	1130.6	3807.9
K00010	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	512.12	285.65000000000003	128.7	1178.0	5007.72	40.22	2010.8	2244.31	1878.22	96.6	1690.8	91.3	7218.6	4342.33	6479.0
K00012	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	18336.79	50167.2	7515.42	19854.6	10015.65	5289.799999999999	22488.4	7073.58	11930.160000000002	6720.0	13302.87	3314.2700000000004	30778.8	16565.1	9362.1
K00013	hisD; histidinol dehydrogenase [EC:1.1.1.23]	30472.81	39005.95	23513.57	24633.1	17710.77	17386.32	21327.2	15246.63	12024.68	31402.6	22386.07	25438.77	35423.1	18611.43	23985.1
K00014	aroE; shikimate dehydrogenase [EC:1.1.1.25]	32402.15	39690.22	24295.95	25091.77	18483.95	19947.79	23525.1	16840.36	15022.85	32219.71	23169.17	26603.93	36622.67	19033.76	26485.78
K00015	gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]	15337.4	11557.0	4888.0	263.0	3814.0	280.0	36.0	543.0	1042.0	5658.0	2991.0	1309.0	1553.0	4884.0	4017.0
K00016	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]	47312.26	27706.52	39045.88	14936.17	20754.34	29744.64	31692.9	27280.39	5407.09	56280.77	25315.1	49525.66	37412.57	22370.660000000003	34512.34
K00018	hprA; glycerate dehydrogenase [EC:1.1.1.29]	730.49	32931.0	5010.5	11938.0	3932.67	1470.99	1546.2	1679.69	4989.74	7412.5	6684.8	1656.0	9040.7	4214.16	5572.0
K00019	E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	31.07	17.1	340.2	41.0	312.14	0.0	0.0	65.0	34.33	41.0	34.0	7.0	0.0	0.0	848.2
K00020	mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	2474.17	2804.5	500.02	1318.0	486.55	2583.4	15751.2	418.2	853.8299999999999	958.7	3295.37	245.5	1034.2	326.0	2063.6
K00021	HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	0.0	0.0	9.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0
K00023	phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]	3.74	0.0	0.0	0.0	0.0	0.0	0.0	18.0	32.66	17.0	0.0	9.0	0.0	0.0	464.0
K00024	mdh; malate dehydrogenase [EC:1.1.1.37]	1410.14	36516.100000000006	1731.37	29117.6	5516.3	3946.0	4222.0	3290.1	7260.26	595.17	8605.97	767.77	32005.4	9349.6	4525.77
K00027	ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	18537.16	16598.95	7864.4	4326.099999999999	10608.1	5560.91	32856.7	3185.79	6155.960000000001	6660.6	10378.6	2632.6	7884.1	6293.590000000001	8348.099999999999
K00029	E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	643.89	18941.6	1667.87	17367.6	5448.969999999999	3859.0	4212.0	2131.1800000000003	7204.76	497.0	7368.97	453.27	16094.9	5187.1	4931.099999999999
K00030	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	330.17	2420.1	395.7	151.5	312.8	511.5	2366.0	20.5	147.82999999999998	328.1	573.1	20.5	3600.0	127.0	14.0
K00031	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	15190.81	24444.35	18292.37	22263.6	13569.64	15946.82	19727.2	14737.63	10871.68	25493.15	18751.87	24063.52	30295.1	13557.43	20557.3
K00032	E1.1.1.43; phosphogluconate 2-dehydrogenase [EC:1.1.1.43]	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	613.0
K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	32035.220000000005	36245.27	23512.53	21921.27	17383.97	19830.33	18003.0	15451.35	6429.86	31245.77	19555.6	25438.26	35402.57	18870.77	24335.24
K00034	gdh; glucose 1-dehydrogenase [EC:1.1.1.47]	315.5	27.5	53.5	15.0	2.5	30.0	0.0	43.5	140.5	805.5	40.0	66.0	13.0	17.0	445.0
K00035	gal; D-galactose 1-dehydrogenase [EC:1.1.1.48]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	31671.020000000004	35475.27	23356.53	21805.27	17299.64	18191.33	18003.0	15365.35	6428.86	31219.77	19450.6	25409.26	31425.57	18722.77	24948.24
K00038	E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	2.0	7.0	0.0	0.0	0.0	0.0	0.0
K00040	uxuB; fructuronate reductase [EC:1.1.1.57]	269.4	1774.6	1685.2	3131.6	5461.7	3568.4	7898.2	1109.3	4811.200000000001	530.6	5884.6	142.1	1353.6	1064.6	6503.599999999999
K00041	uxaB; tagaturonate reductase [EC:1.1.1.58]	565.37	21852.45	1612.2	12085.6	759.9	3562.02	5278.4	2119.73	7680.719999999999	436.5	6735.6	216.3	6927.5	5111.43	1270.1
K00042	garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	563.0	4939.9	3596.45	5187.199999999999	6460.710000000001	7257.599999999999	12561.4	2128.0	3361.1	1302.1999999999998	10516.5	175.4	1658.4	2270.2000000000003	5130.5
K00045	E1.1.1.67, mtlK; mannitol 2-dehydrogenase [EC:1.1.1.67]	23.0	0.0	0.0	10.0	18.67	9.0	0.0	102.0	2.0	0.0	0.0	0.0	29.0	10.0	613.0
K00046	idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]	937.45	27568.4	584.0	13174.0	5088.900000000001	474.2	13272.5	2347.85	7366.700000000001	1874.1	3392.6	1135.3	17900.800000000003	4323.5	3749.8
K00048	fucO; lactaldehyde reductase [EC:1.1.1.77]	30017.95	37492.2	23019.05	18409.6	12821.94	17308.6	20288.4	15128.65	5443.4	31269.75	19677.8	25113.55	20230.5	18561.1	20349.6
K00050	ttuD; hydroxypyruvate reductase [EC:1.1.1.81]	28.8	317.0	0.0	917.0	0.67	0.0	4.0	41.0	16.5	17.0	109.0	14.0	712.0	10.0	676.5
K00052	leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]	30612.81	39277.62	23657.9	25164.77	17736.77	17462.649999999998	22164.2	15405.63	11910.01	31618.77	22537.07	25662.93	36880.77	18768.1	24789.44
K00053	ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]	30612.81	38643.62	23657.9	24658.77	17736.77	17462.649999999998	22156.2	15387.63	11786.01	31613.77	22397.07	25657.93	35486.770000000004	18768.1	24789.44
K00054	mvaA; hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	2226.5	394.67	671.3299999999999	459.67	435.0	1731.33	12141.5	1324.33	140.33	376.0	331.0	988.66	1412.17	269.67	736.67
K00055	E1.1.1.90; aryl-alcohol dehydrogenase [EC:1.1.1.90]	356.0	36.0	156.0	113.0	85.0	1615.0	0.0	66.0	2.0	5.0	0.0	19.0	476.0	146.0	0.0
K00057	gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	32324.73	38834.87	23951.75	24325.77	18059.31	19140.82	21953.7	16649.29	11926.43	31754.77	22554.07	26335.93	36148.27	18900.43	24843.44
K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	33580.71	45290.95	24199.42	26140.1	18287.81	19221.07	35164.7	16689.71	12592.68	34585.1	24799.57	26354.77	48250.6	18854.43	24471.1
K00059	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	22333.94	60352.99	9141.65	46744.94	30573.11	8501.07	40253.8	8295.7	26638.09	11740.97	20713.54	5004.96	42160.74	17129.43	32927.31
K00060	tdh; threonine 3-dehydrogenase [EC:1.1.1.103]	284.74	1192.6	1668.87	2864.6	5396.3	3172.0	6019.0	1022.6	3900.3600000000006	103.6	6291.27	102.27	234.4	1055.6	3754.9
K00064	E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	180.0	442.0
K00065	kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]	370.2	1810.2	1599.05	1454.6	729.4399999999999	3181.2	5048.2	1034.2	1282.4	2050.0	6346.8	16.8	592.8	1041.6	908.6
K00066	algD; GDP-mannose 6-dehydrogenase [EC:1.1.1.132]	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	613.0
K00067	rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	1641.73	21255.1	950.22	17703.0	918.58	1510.99	20913.7	4475.1900000000005	9051.9	2303.6	6679.07	1343.17	20315.7	9016.16	4128.2
K00068	srlD; sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]	619.6	2290.4	3578.6	4057.7	6751.0	6328.7	9247.2	2040.8	2673.1	78.19999999999999	9215.5	116.4	467.2000000000001	2095.2000000000003	4511.5
K00073	allD; ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]	753.2	1051.2	1847.2	1534.6	1044.4	3150.2	16273.2	1057.2	1247.4	82.0	4561.8	140.8	239.8	1055.6	829.6
K00074	paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	792.22	3914.95	2228.25	3869.6	5969.81	4820.17	4718.0	1322.9299999999998	7652.120000000001	608.0	6879.5	267.6	7297.4	1210.93	4839.299999999999
K00075	murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	32556.140000000003	38759.12	24000.58	24780.77	17948.31	19196.4	21381.7	16676.71	9735.18	31794.27	20888.4	26401.76	36175.27	18966.1	24846.44
K00076	hdhA; 7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]	253.2	1062.2	1599.05	1457.6	880.9399999999999	3578.6	4455.4	1087.4	1315.4	10.0	4408.8	40.3	446.0	1048.6	793.6
K00077	panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]	16662.25	27251.35	18941.92	24400.1	18617.88	17660.56	22765.3	15970.989999999998	11433.42	26874.45	19974.17	24855.82	34383.0	13905.089999999998	22543.7
K00078	DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.0	0.0	0.0	0.0	0.0	0.0	0.0
K00082	ribD2; 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.5	0.0	20.0	0.0	0.0	0.0
K00086	dhaT; 1,3-propanediol dehydrogenase [EC:1.1.1.202]	356.0	36.0	171.85	121.0	151.54	1615.0	0.0	60.0	0.0	9.0	0.0	23.0	476.0	146.0	0.0
K00087	ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]	346.2	2054.2	1583.2	2500.6	730.4	3552.6	13111.4	1087.4	2017.4	2370.0	5505.8	75.3	2018.0	1046.6	793.6
K00088	IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]	45868.31	44018.62	40199.74999999999	33651.770000000004	25577.31	31502.4	22224.7	29214.88	12430.01	56584.44	32933.07	49938.93000000001	60367.27	27428.10000000001	39587.11
K00090	ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]	255.07	1192.6	1655.2	2600.6	5395.969999999999	3172.0	4199.0	1022.6	1684.0300000000002	58.0	4627.5	88.1	234.4	1055.6	4395.099999999999
