pathway	10918.38802.R1.fastq.gz	10918.38895.R1.fastq.gz	10918.38896.R1.fastq.gz	10918.38899.R1.fastq.gz	10918.38903.R1.fastq.gz	10918.39015.R1.fastq.gz	10918.39024.R1.fastq.gz	10918.39025.R1.fastq.gz	10918.39027.R1.fastq.gz	10918.39028.R1.fastq.gz	10918.39029.R1.fastq.gz	10918.39125.R1.fastq.gz	10918.39127.R1.fastq.gz	10918.39130.R1.fastq.gz	10918.39136.R1.fastq.gz
1CMET2-PWY	23381.25862319289	36310.95901507697	14993.8313811613	22736.739472823425	14786.058688573545	12765.278934316882	16551.483306097965	9026.414674135598	12145.407191031323	15553.971136511205	19116.299106676848	8124.464865874423	31301.236377869307	14967.896290328676	18638.883594871142
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	297.3396511744334	1379.7716275757587	1732.3184756785622	2905.9292598867855	6246.883647547806	3345.0653163599454	4823.555095103219	1140.9909460518206	1827.244240149508	128.86684976033172	4878.4291710402385	92.72769083401538	305.0106925709108	922.0011504257619	4686.428788805379
AEROBACTINSYN-PWY	0.0	0.0	0.0	0.0	20.52274368231047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2339.1680742380386
ALL-CHORISMATE-PWY	1515.1431935346654	6466.094720886844	5621.118345327548	7896.746348742609	10920.198606004145	6730.487225893052	9929.79896419586	2942.15660820235	5368.737619048917	989.1041224684974	11386.947751858257	551.414465388609	1181.112378591166	4333.177322841716	10502.009797134586
ANAEROFRUCAT-PWY	28354.189277384325	39825.15360861959	19971.913171073847	26818.323707876956	18503.57354821086	19210.235206613386	29325.075976215692	13420.435647985374	11404.604291387002	21142.54630328925	26300.45941938909	10155.959919386823	41743.79097499145	19008.868300276547	23500.17557328485
ANAGLYCOLYSIS-PWY	29543.74422771666	42784.26921908156	24733.263937392796	31420.391045308577	18921.51097819045	21568.3142892028	29107.96549409895	18555.71716803137	14668.985248318346	33476.71264096419	26970.558883665188	28420.268238213284	44090.815452549985	20374.104272023425	26175.554516544536
ARG+POLYAMINE-SYN	2296.159722394893	11386.490384413828	7557.538050042761	6892.816439539692	11115.793003384322	7635.980592249426	10822.369283555827	3541.707330868928	5042.020433877707	907.41709842495	12735.38376773601	999.3655202024312	7001.7230501075255	6438.603431399838	11545.99644986578
ARGDEG-PWY	377.8701480046813	1749.6382562629874	2135.951692552916	3691.6975785349114	6253.661780456156	4091.9213076227165	6037.519722578354	1397.5232917570875	2221.500330414455	99.4102331320305	5770.3080338521295	125.9175058556069	422.25285881321224	1376.119139037025	4820.906102682955
ARGORNPROST-PWY	1744.8522754478697	220.69014022084855	834.3216984563879	133.50326787550887	886.5318222129514	135.10624225753153	30.287655034084217	308.09577261397027	154.37940768570016	275.05930169786996	295.8390123914772	729.2260441385921	154.14169860579875	158.16403745833617	1610.1711145864251
ARGSYN-PWY	29864.089240345606	29207.41608502747	23805.45805573033	19216.796569703885	17815.54704336159	18948.429038262057	21305.487655821293	16374.646111485126	10929.858723607484	31742.961586605215	22453.13352523152	26531.24640581301	28773.620624759857	16748.697979733155	24539.93885202562
ARGSYNBSUB-PWY	26702.577917361785	18812.190611639548	23594.122262980094	17554.627204471315	17634.367638137068	19363.47192260884	22188.994659221884	16497.886367418923	11202.180591037202	31759.982452158867	22833.768018761682	27000.482523825573	25515.081778068954	15545.585786331563	24619.12060522242
ARO-PWY	37287.44207613749	39154.55753534473	26504.717729618704	25362.522484683785	20524.9388678618	20646.62820233645	24225.775499800904	18003.43809796224	13341.135000455455	34837.353826902094	25528.56245535558	28571.76981633022	37148.85439207128	21024.905216155727	28209.2676871662
ASPASN-PWY	2781.418496346858	29847.929165802223	4662.172625698045	23612.65243879721	9853.918680156537	7031.39686294211	8227.54646351761	5096.421718857522	9860.950156880057	2660.025230290822	13403.063572776746	2050.075033301294	25439.30074572019	12057.492057966594	8457.604166727653
AST-PWY	253.4	1192.6	1655.2	2600.6	5396.505787113795	3172.0	4199.0	1022.6	1670.8870187220707	58.079561042524	4649.832570877004	74.78709677419354	234.39999999999998	1055.6	4683.877456227856
BIOTIN-BIOSYNTHESIS-PWY	1304.6113441844495	8755.369148154865	3899.8160561093114	13160.839589383952	10813.785601776066	5823.398560252975	8790.426726054939	4013.5726552705896	4809.120952749711	1287.807845083543	10318.037678509772	717.1669539164997	1671.2208666213885	9973.689804440375	9907.87892043346
BRANCHED-CHAIN-AA-SYN-PWY	26981.666081705353	40201.67421716576	24544.543778220843	29142.77848752482	19375.626662683128	20883.334281656902	26329.604487561995	17706.520104881667	14031.939799667547	33564.846063233366	25364.310935028076	28385.297367159972	38472.69042389743	19015.49762479354	27650.73283345928
CALVIN-PWY	31414.413315137244	43602.888644857296	20931.68086858177	26278.862018167758	20447.096779755666	18350.718172216704	29033.565980103187	13952.75215893892	14479.447465427094	22123.266840688942	26195.36571401173	11352.303739638017	38944.33373650046	18572.883361661934	24093.443987467195
CATECHOL-ORTHO-CLEAVAGE-PWY	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	23.38235294117647	22.401104972375688	33.028571428571425	0.0	0.0	0.0	736.3050419067574
CENTFERM-PWY	509.62498717567485	4921.882545615004	1466.6306831848972	3309.532120525683	1978.4164603073718	33.71791222560708	778.559959063314	704.859246607206	147.50604638640337	392.8151017028766	2915.4159048889624	208.75772541040644	1866.1010473723738	27.836017820265113	175.54142287223638
CHLOROPHYLL-SYN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.40968686506901	0.0	0.0	0.0	0.0	0.0
COA-PWY	23711.22418556402	34637.629950432536	11675.831236105267	21124.732690283872	13146.71242733855	10120.014661775029	22563.683786142792	6800.935995657186	12244.146646001325	11402.140596653087	17290.378800724393	5354.564981437823	28290.574730065604	13573.559878729135	14541.896955693837
